index;x;y;z
0;0.013504;0.017563;-0.997086
1;0.013855;0.016312;-0.995850
2;0.016663;0.013916;-0.995209
3;0.015366;0.015579;-0.996246
4;0.013580;0.017181;-0.996063
5;0.014786;0.013000;-0.996597
6;0.015793;0.017349;-0.994873
7;0.014481;0.018097;-0.996216
8;0.014954;0.013718;-0.996735
9;0.013367;0.016739;-0.996429
10;0.014557;0.018005;-0.996857
11;0.015091;0.015640;-0.995895
12;0.015259;0.012741;-0.994797
13;0.013306;0.018814;-0.994766
14;0.015274;0.014481;-0.995377
15;0.015732;0.015106;-0.996399
16;0.013977;0.015594;-0.995972
17;0.014191;0.017151;-0.996262
18;0.015625;0.013947;-0.996658
19;0.015320;0.016159;-0.996338
20;0.013351;0.016678;-0.995773
21;0.015091;0.013977;-0.995316
22;0.014694;0.015762;-0.996460
23;0.014740;0.016205;-0.995300
24;0.014328;0.015823;-0.996063
25;0.014832;0.014893;-0.995987
26;0.013550;0.017502;-0.995361
27;0.015625;0.015656;-0.995575
28;0.015106;0.015823;-0.995331
29;0.015121;0.016708;-0.996140
30;0.014297;0.016129;-0.995209
31;0.015289;0.014786;-0.996140
32;0.014633;0.015823;-0.996231
33;0.013962;0.015854;-0.995605
34;0.014481;0.014771;-0.995422
35;0.014999;0.015961;-0.995651
36;0.014435;0.016342;-0.995010
37;0.014542;0.015594;-0.995071
38;0.014893;0.015854;-0.994064
39;0.014587;0.017029;-0.994751
40;0.014969;0.015869;-0.995514
41;0.014740;0.015366;-0.996658
42;0.014435;0.015976;-0.995499
43;0.014633;0.016403;-0.996353
44;0.015350;0.015656;-0.995743
45;0.014496;0.016403;-0.995590
46;0.015305;0.015091;-0.995987
47;0.014481;0.015762;-0.995361
48;0.015350;0.015671;-0.994614
49;0.014542;0.016708;-0.996033
50;0.015594;0.015289;-0.995911
51;0.014893;0.015915;-0.996094
52;0.015060;0.016754;-0.995667
53;0.014709;0.015244;-0.995819
54;0.014664;0.016342;-0.995651
55;0.014709;0.015961;-0.995544
56;0.014633;0.016861;-0.995850
57;0.014572;0.015656;-0.994766
58;0.014069;0.016510;-0.995972
59;0.014679;0.015717;-0.996231
60;0.014969;0.015137;-0.995163
61;0.015213;0.016525;-0.996735
62;0.015656;0.015640;-0.995285
63;0.014725;0.016342;-0.995148
64;0.015366;0.016357;-0.994675
65;0.014709;0.016052;-0.995743
66;0.014862;0.014999;-0.994431
67;0.014328;0.015457;-0.995026
68;0.014267;0.015839;-0.996277
69;0.015244;0.016373;-0.996628
70;0.014847;0.016327;-0.995102
71;0.015671;0.015854;-0.996017
72;0.014221;0.015915;-0.994675
73;0.015350;0.015396;-0.996185
74;0.015182;0.015762;-0.995667
75;0.015259;0.016815;-0.995117
76;0.016052;0.015106;-0.996307
77;0.015030;0.015411;-0.995804
78;0.014771;0.016678;-0.996170
79;0.015228;0.016541;-0.997025
80;0.015686;0.016098;-0.995499
81;0.014923;0.016449;-0.996017
82;0.014755;0.015671;-0.995193
83;0.015244;0.015717;-0.995468
84;0.014404;0.015488;-0.996597
85;0.014160;0.015152;-0.996368
86;0.015060;0.015839;-0.996567
87;0.014801;0.016678;-0.996445
88;0.014679;0.016174;-0.995529
89;0.014969;0.015900;-0.996460
90;0.014420;0.016281;-0.995346
