index;x;y;z
0;-0.000217;0.000408;0.004260
1;0.000250;-0.000316;0.005559
2;-0.000454;0.000422;0.003695
3;0.002185;-0.000669;0.005251
4;-0.001203;-0.000043;0.004346
5;0.002088;0.000306;0.003875
6;-0.001003;0.000107;0.005351
7;0.000976;-0.000444;0.004195
8;0.001804;-0.000353;0.004896
9;0.000227;0.000561;0.005387
10;0.001204;0.000253;0.005884
11;0.000335;-0.001718;0.004706
12;-0.000304;0.001522;0.004054
13;0.000779;-0.000511;0.004541
14;0.000579;0.000650;0.005383
15;0.000006;0.000817;0.004788
16;0.001207;-0.001027;0.004367
17;0.000009;0.000932;0.005566
18;-0.000034;-0.000457;0.005110
19;0.000819;0.000529;0.004591
20;0.001194;0.000190;0.003447
21;-0.000043;-0.000842;0.005356
22;0.001847;0.000832;0.003374
23;0.000481;0.000093;0.005246
24;-0.001505;-0.000619;0.005966
25;-0.000494;0.002304;0.005000
26;0.001103;-0.002057;0.005228
27;0.000432;0.002282;0.003591
28;0.000397;-0.001775;0.005610
29;0.002095;0.002299;0.004726
30;0.000565;-0.003294;0.005046
31;0.000977;0.001301;0.002583
32;-0.000567;-0.001196;0.007595
33;0.004427;0.001286;-0.004590
34;0.011065;-0.022813;0.015362
35;0.002547;0.005284;-0.009006
36;-0.011854;0.020173;-0.005766
37;0.021779;0.007834;-0.004730
38;-0.018969;-0.031745;0.018648
39;-0.013136;-0.022145;-0.031745
40;-0.022437;0.004929;0.006306
41;-0.000131;0.017641;-0.007692
42;0.018758;0.019875;-0.017443
43;0.005534;-0.020284;-0.024120
44;0.005626;0.006031;-0.005895
45;0.017406;-0.018902;0.012745
46;0.000908;-0.003061;0.048266
47;0.004007;0.003567;0.035744
48;0.020139;-0.003514;-0.007565
49;-0.024125;-0.005613;-0.113135
50;0.018004;-0.025103;-0.083803
51;-0.026541;0.003216;0.051508
52;0.032519;0.017443;0.058198
53;0.008733;0.016883;0.068231
54;0.002692;0.029490;0.057823
55;0.000458;0.005319;0.033652
56;-0.000682;0.000857;-0.007234
57;-0.010722;-0.005912;-0.005401
58;0.008370;0.003787;-0.002343
59;-0.008547;-0.010456;-0.023117
60;-0.027987;-0.014276;-0.037163
61;-0.061677;-0.035397;-0.000847
62;-0.050511;-0.021514;0.012508
63;-0.072331;-0.000807;0.034706
64;-0.057976;-0.025637;0.015392
65;-0.031519;0.010445;0.004560
66;-0.025707;0.008694;0.002118
67;0.000281;0.016833;0.000167
68;0.002453;0.013237;0.000510
69;0.011530;0.022144;-0.004541
70;0.020837;0.037217;0.008985
71;0.017593;0.009190;0.033646
72;0.014759;0.023554;0.032924
73;-0.001159;0.005299;0.025183
74;-0.007710;0.022209;0.022202
75;-0.008359;-0.009616;0.005260
76;0.025399;0.024274;-0.002737
77;0.010781;0.031470;0.002467
78;0.034458;0.005143;-0.014270
79;0.030482;0.003497;0.002834
80;0.050097;-0.002363;0.013291
81;0.032910;-0.004440;-0.010133
82;0.041620;-0.001953;-0.009313
83;0.023894;-0.019156;-0.009463
84;0.013121;0.012789;-0.002256
85;-0.010453;-0.007981;-0.010005
86;-0.005380;-0.019783;0.004352
87;-0.009258;-0.002052;0.030425
88;-0.021292;-0.045702;0.050971
89;0.026146;-0.021579;0.033865
90;0.002773;-0.053227;0.045724
91;0.030582;0.010392;0.035818
92;0.051489;-0.000051;-0.012316
93;0.057206;0.038465;-0.036166
94;0.026515;0.056093;-0.023896
95;-0.004638;0.010574;-0.013779
96;-0.001059;-0.017616;0.054587
97;-0.004440;-0.030886;0.172942
98;0.062896;0.052909;0.381738
99;0.151265;0.190700;0.646021
100;0.217617;0.194721;0.816266
101;0.067588;0.171728;0.640145
102;-0.092437;0.274817;-0.042452
103;-0.327178;-0.042631;-0.695497
104;-0.246521;-0.024338;-0.788863
105;-0.257578;0.098475;-0.674319
106;-0.175706;-0.063637;-0.774287
107;-0.101660;0.081118;-0.358567
108;-0.021116;0.113010;-0.163279
109;-0.048770;0.043892;0.020672
110;0.000340;0.052492;0.047244
111;0.000480;0.012048;0.058751
112;0.018058;0.067110;0.084393
113;0.049970;0.049983;0.051254
114;0.015746;0.050951;0.078180
115;0.045121;0.027110;0.041987
116;0.014749;0.012219;0.049003
117;0.018317;0.015184;0.053891
118;-0.000662;0.026979;0.056043
119;-0.007158;-0.013274;0.013578
120;-0.007682;0.004675;0.006813
121;-0.019883;-0.007646;0.017602
122;0.003600;0.000082;0.011675
123;-0.007395;0.005342;0.026355
124;-0.012486;-0.009438;-0.007935
125;-0.001745;0.018103;0.016809
126;-0.037107;-0.011301;0.036915
127;0.019613;0.017873;0.035391
128;-0.008633;-0.017793;0.036189
129;-0.004282;-0.005580;0.036886
130;0.004190;0.010309;0.044916
131;-0.000243;0.023271;0.034543
132;0.014873;0.029460;0.014220
133;0.015908;0.032885;0.004864
134;0.009421;-0.002397;0.026379
135;0.011362;-0.019866;0.023543
136;-0.011721;-0.034698;0.012140
137;-0.003197;0.001177;-0.006228
138;-0.011701;-0.022208;0.002392
139;0.023256;0.004538;0.001073
140;0.037694;0.006898;0.034619
141;0.064163;0.005231;-0.000155
142;0.159794;0.003598;-0.018030
143;0.151175;0.041774;-0.015335
144;-0.237891;-0.012734;-0.018806
145;-0.352718;-0.056392;-0.005816
146;-0.145461;-0.004005;0.054791
147;0.057300;0.041104;-0.025328
148;0.145346;0.041395;-0.048196
149;0.079493;-0.005702;0.042899
150;0.061727;-0.001393;0.031057
151;0.053948;0.022649;0.013008
152;0.005569;-0.005434;-0.000508
153;-0.115722;-0.023986;-0.010206
154;-0.201657;-0.018315;-0.010163
155;-0.048052;-0.017842;0.011843
156;0.197965;0.037432;-0.046840
157;0.056178;0.051379;0.020616
158;-0.149460;-0.005193;0.062822
