index;x;y;z
0;0.072891;-0.166992;-0.958206
1;0.016907;-0.142395;-0.971191
2;0.035507;-0.148605;-0.970428
3;0.067566;-0.174164;-0.984085
4;0.031479;-0.132217;-0.998520
5;0.040009;-0.143753;-1.005722
6;0.022568;-0.151520;-0.996765
7;0.020584;-0.149384;-0.973373
8;-0.001801;-0.126434;-0.962677
9;0.006348;-0.102020;-0.980499
10;0.020248;-0.117188;-0.971680
11;0.072037;-0.156601;-0.965912
12;0.057922;-0.149567;-0.968613
13;0.048431;-0.129913;-1.007751
14;0.017731;-0.123108;-0.979645
15;0.029907;-0.129410;-0.985107
16;0.030640;-0.129562;-1.004837
17;0.029465;-0.135513;-0.967636
18;-0.003922;-0.136215;-0.988174
19;-0.015350;-0.113419;-1.014969
20;-0.000366;-0.108582;-0.988312
21;0.051880;-0.202011;-0.957077
22;0.020920;-0.133118;-1.009155
23;-0.025391;-0.104584;-0.967896
24;0.029724;-0.143143;-0.954575
25;0.007278;-0.130234;-0.985336
26;0.006149;-0.127350;-0.986984
27;0.011810;-0.128998;-1.006973
28;0.037399;-0.129196;-0.981964
29;0.009140;-0.139511;-0.997025
30;0.033554;-0.127762;-1.007156
31;0.036118;-0.112808;-0.966232
32;0.034637;-0.106293;-0.967148
33;0.039551;-0.119797;-0.994049
34;-0.040421;-0.176132;-0.999084
35;0.062988;-0.098221;-0.987213
36;0.089584;-0.098862;-0.988586
37;-0.020309;-0.117645;-0.943298
38;0.010681;-0.093674;-0.999741
39;0.009842;-0.062241;-0.982819
40;0.051956;-0.077652;-1.000092
41;0.031219;-0.095184;-0.981232
42;-0.024292;-0.127274;-0.972076
43;0.002853;-0.108566;-1.012070
44;0.010391;-0.097198;-0.998398
45;0.015808;-0.076584;-0.974121
46;0.027756;-0.080292;-0.987152
47;0.016556;-0.094299;-0.998291
48;0.025665;-0.107834;-1.003159
49;0.024323;-0.088440;-0.996109
50;0.013733;-0.090225;-0.948746
51;0.014313;-0.080872;-1.017654
52;0.032623;-0.089981;-0.988266
53;0.006439;-0.087082;-0.984940
54;0.007599;-0.078552;-0.997086
55;0.022415;-0.070404;-1.002548
56;0.017242;-0.073166;-1.017410
57;0.023682;-0.070618;-0.987457
58;0.022110;-0.056992;-0.995956
59;0.010345;-0.058609;-1.004486
60;0.003159;-0.057587;-0.994644
61;0.011627;-0.066330;-0.992828
62;0.020279;-0.066132;-0.979431
63;0.021210;-0.067307;-0.989502
64;0.023743;-0.065231;-0.996628
65;0.021194;-0.060608;-0.996780
66;0.010544;-0.062210;-0.996735
67;0.019531;-0.063843;-0.998596
68;0.008209;-0.066803;-0.985321
69;0.008926;-0.066956;-0.984131
70;0.006744;-0.066040;-0.993134
71;0.001938;-0.067307;-0.986191
72;0.009933;-0.070099;-0.990784
73;0.014954;-0.069748;-0.992035
74;0.011673;-0.064896;-0.990082
75;0.009476;-0.067062;-0.995560
76;0.016220;-0.073853;-0.991516
77;0.014526;-0.070206;-0.989960
78;0.016785;-0.067520;-0.998108
79;0.013947;-0.067368;-1.003464
80;0.014969;-0.063370;-0.980865
81;0.007065;-0.065948;-0.975876
82;0.019440;-0.069794;-0.986145
83;0.011520;-0.063858;-0.986969
84;0.018784;-0.058670;-1.015411
85;0.017105;-0.053055;-1.010742
86;0.023422;-0.057251;-0.983963
87;0.021988;-0.055283;-0.972900
88;0.025833;-0.050385;-0.984650
89;0.010788;-0.050842;-0.986176
90;0.018478;-0.059311;-0.996857
91;0.019669;-0.054993;-0.994568
92;0.019989;-0.060181;-1.005722
93;0.023590;-0.054443;-1.039536
94;0.037323;-0.068619;-1.046234
95;0.022812;-0.063019;-1.087219
96;-0.013474;-0.003464;-1.406708
97;0.012726;-0.002548;-1.640625
98;-0.003128;-0.046814;-1.364548
99;0.009827;-0.098404;-0.881638
100;0.132523;-0.043991;-0.400665
101;0.057785;-0.033417;-0.139862
102;0.106628;-0.138840;0.014282
103;0.073593;-0.113785;-0.171173
104;-0.024872;-0.008469;-1.189453
105;-0.114731;0.088333;-2.234985
106;0.004944;-0.012421;-2.345947
107;-0.016647;-0.069870;-1.435425
108;0.040695;-0.081955;-0.514465
109;0.057404;-0.114059;-0.007217
110;0.092255;-0.163864;-0.012222
111;0.003311;-0.114136;-0.626617
112;-0.094086;-0.016495;-1.982635
113;-0.021774;-0.012405;-2.209045
114;0.028580;-0.071396;-1.240234
115;0.068558;-0.056229;-0.295563
116;0.109451;-0.091476;-0.030121
117;0.097122;-0.139893;-0.286285
118;-0.067764;-0.065384;-1.287720
119;-0.088013;-0.061951;-2.198410
120;-0.018265;-0.105057;-1.793594
121;0.031372;-0.084412;-0.978638
122;0.093948;-0.038681;-0.364624
123;0.089813;-0.084717;-0.016129
124;0.060638;-0.098099;-0.097702
125;0.011810;-0.010056;-0.795746
126;-0.011063;-0.007217;-1.595291
127;-0.023331;-0.049271;-1.579346
128;-0.005157;-0.047272;-1.432159
129;0.041397;-0.030273;-1.176498
130;0.033630;-0.018616;-0.921448
131;-0.019684;-0.040070;-0.889038
132;-0.218964;-0.091568;-0.920746
133;-0.373413;-0.127548;-1.015732
134;-0.227798;-0.068283;-1.101410
135;0.249496;0.002213;-1.024979
136;0.832642;0.038284;-0.991089
137;0.880768;0.169113;-1.020355
138;0.181274;0.115280;-0.921799
139;-0.603317;-0.119919;-0.932327
140;-0.828873;-0.220612;-0.992416
141;-0.580963;-0.163910;-0.984879
142;-0.012863;-0.061707;-0.909332
143;0.599472;0.008347;-0.934998
144;0.816010;0.104614;-1.112579
145;0.619583;0.139450;-1.163544
146;-0.037796;-0.007507;-1.014404
147;-0.632523;-0.211655;-0.948883
148;-0.741928;-0.220444;-0.891754
149;-0.433578;-0.124130;-0.916214
150;0.158188;-0.067352;-0.865021
151;0.743591;0.062607;-1.064270
152;0.866974;0.220764;-1.248093
153;0.524002;0.172104;-1.171799
154;-0.091415;-0.029831;-0.956802
155;-0.576630;-0.160233;-0.887268
156;-0.651596;-0.105759;-0.963531
157;-0.229279;0.061447;-0.974487
158;0.171005;0.133575;-0.917236
159;0.325485;0.046280;-1.033234
160;0.176895;-0.273117;-1.112137
161;0.144623;-0.615631;-1.106216
162;0.078705;-0.675079;-1.029922
163;0.052414;-0.352936;-0.985107
164;0.032913;0.263000;-0.806000
165;-0.070679;0.790527;-1.006485
166;-0.051727;0.747498;-1.227951
167;-0.043655;0.167435;-0.753677
168;-0.073273;-0.543808;-0.732651
169;-0.025558;-0.898132;-1.071823
170;-0.014084;-0.754486;-1.092957
171;0.011337;-0.267136;-0.996643
172;0.031693;0.469879;-1.053268
173;-0.000473;0.871078;-1.235321
174;0.011551;0.593094;-1.017288
175;0.031357;-0.076172;-0.730026
176;0.038162;-0.706238;-0.902573
177;-0.113800;-0.937241;-1.102890
178;-0.132019;-0.624329;-1.017044
179;-0.009064;0.031921;-0.999313
180;-0.015015;0.782593;-1.097366
181;0.030594;0.892197;-1.258270
182;0.055557;0.383087;-0.793304
183;0.138229;-0.357376;-0.715637
184;-0.012054;-0.856216;-0.981232
185;-0.199753;-0.906006;-1.091141
186;-0.104599;-0.416748;-1.033737
187;0.073410;0.354416;-1.022888
188;0.011032;0.876251;-1.110641
189;0.028732;0.752411;-1.085114
190;0.054047;0.148407;-0.799957
191;0.098587;-0.555069;-0.864761
192;-0.016541;-0.920364;-1.126083
193;-0.144943;-0.737305;-1.061935
194;-0.013824;-0.203796;-0.922989
195;0.203659;0.422379;-0.967529
196;0.311798;0.621170;-1.184494
197;0.211380;0.384506;-1.125320
198;-0.166458;-0.030807;-0.914032
199;-0.691650;-0.279739;-0.937866
200;-0.688416;-0.219070;-1.053650
201;-0.321167;-0.055771;-0.986115
202;0.226974;-0.044495;-0.938187
203;0.852737;-0.028381;-1.010788
204;1.067062;0.071045;-1.157837
205;0.570724;0.110657;-1.072159
206;-0.245651;0.039581;-0.976395
207;-0.830902;-0.063187;-0.929092
208;-0.778000;-0.110565;-0.967514
209;-0.409744;-0.115768;-0.846558
210;0.322144;-0.155197;-0.822708
211;0.851837;-0.015747;-1.080612
212;0.869965;0.153000;-1.239639
213;0.257065;0.161560;-1.188095
214;-0.534958;-0.047409;-1.018631
215;-0.811279;-0.195236;-0.915909
216;-0.652176;-0.168396;-0.863647
217;-0.135773;-0.150345;-0.834015
218;0.638412;-0.093109;-0.926941
219;0.976013;0.133392;-1.135727
220;0.751648;0.242706;-1.237030
221;0.120514;0.045975;-1.077072
222;-0.656021;-0.138504;-0.910736
223;-0.824463;-0.197159;-0.958328
224;-0.480072;-0.137482;-0.833282
225;0.093613;-0.095764;-0.698761
226;0.421860;-0.015778;-0.770889
227;0.463531;0.079590;-1.019089
228;0.229446;0.025269;-0.972534
229;0.012238;-0.073074;-1.283173
230;-0.177353;-0.087875;-1.876007
231;-0.162201;-0.012543;-2.283249
232;-0.010269;0.089661;-1.654129
233;0.080673;0.182541;-0.575287
234;0.081757;0.125885;0.354523
235;0.072250;0.056503;0.657822
236;0.148178;-0.045563;0.342896
237;-0.190262;-0.060562;-0.440094
238;-0.232971;-0.056580;-2.047791
239;-0.086868;-0.055923;-2.920990
240;-0.007477;-0.114182;-2.835892
241;-0.020325;0.019531;-1.717743
242;0.035004;0.169769;-0.335480
243;0.131592;0.180893;0.576828
244;0.173187;0.099442;0.758163
245;0.023972;-0.004776;0.483963
246;-0.100433;0.046463;-0.949295
247;-0.135620;0.034210;-2.686783
248;-0.069336;-0.024963;-3.200623
249;-0.063736;-0.065979;-2.421188
